"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"Boyle Mean Spill Days per year",217.4333,"days","Hydropower","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",59.2,"days","Hydropower","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",140.1667,"days","Hydropower","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",43.5977,"Percent of Days","Flood Control","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",44.1179,-1.17911323975075
"Mean Ann UKL Flood Control Release Volume",378.9839,"KAF","Flood Control","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",224.4786,68.828520847867
"KenoReach Mean Ann Fishing Days",224.9333,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",247.6667,-9.17902972018442
"BoyleReach Mean Ann Fishing Days",146.3667,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",154.9,-5.50890897353131
"HellsCornerReach Mean Ann Fishing Days",243.7,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",220.4333,10.5549842061068
"IGScottReach Mean Ann Fishing Days",266.1,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,-3.14242940335226
"ScottSalmonReach Mean Ann Fishing Days",183.8667,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",183.9667,-0.0543576636423844
"SalmonTrinityReach Mean Ann Fishing Days",211.4333,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,-1.16858852735876
"TrinityOceanReach Mean Ann Fishing Days",241.0333,"days","Recreation Fishing","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,-4.7047976680018
"KenoReach Mean Ann Boating Days",180.6,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",171.8,5.12223515715948
"BoyleReach Mean Ann Boating Days",54.7667,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",59,-7.17508474576271
"HellsCornerReach Mean Ann Boating Days",181.1333,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",256,-29.2448046875
"IGScottReach Mean Ann Boating Days",266.1,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,-3.14242940335226
"ScottSalmonReach Mean Ann Boating Days",236.0333,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",249.2333,-5.29624251654976
"SalmonTrinityReach Mean Ann Boating Days",211.4333,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,-1.16858852735876
"TrinityOceanReach Mean Ann Boating Days",241.0333,"days","Recreation Boating","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,-4.7047976680018
"Mean Percent Full Supply (Apr-Sep)",93.6048,"%","Water Delivery","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1467.6009,"KAF","Water Delivery","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",1377.9978,6.50241241314027
"Mean Annual Shasta Flow",206.1746,"cfs","Water Delivery","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",187.6871,9.85017084285495
"Mean Annual Scott Flow",834.5261,"cfs","Water Delivery","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",668.7854,24.7823442317969
"Mean Annual MWAT",77.198,"degF","Water Quality","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",75.7443,1.9192203241696
"Mean exceedence of MWAT - Poor",13.518,"degF","Water Quality","HW","CMIP3",2030,"Reduce Dam
Outflow
4degC",12.0643,12.0496008885721
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Baseline",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Baseline",56.8769,2.02173465853449
"Mean Annual Water Delivery to LKNWR",14.6559,"KAF","Ecological Resources","HW","CMIP3",2070,"Baseline",24.6143,-40.4577826710489
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Baseline",26741.1142,-0.859354618813899
"Boyle Mean Spill Volume per Year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Baseline",163.0602,233.710555978712
"Copco1 Mean Spill Volume per Year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Baseline",186.3791,203.838144942217
"Iron Gate Mean Spill Volume per Year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Baseline",533.8601,74.0005106206664
"Boyle Mean Spill Days per Year",238.7,"days","Hydropower","HW","CMIP3",2070,"Baseline",105.9,125.401322001889
"Copco1 Mean Spill Days per Year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Baseline",42.8,44.4703271028038
"Iron Gate Mean Spill Days per Year",149.6,"days","Hydropower","HW","CMIP3",2070,"Baseline",170.3333,-12.172194162856
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Baseline",44.1179,-1.26184609874903
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Baseline",224.4786,99.486320745051
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",247.6667,-13.7416132245473
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",154.9,-10.6305358295675
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",220.4333,6.0638297389732
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",183.9667,5.92498533702024
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline",252.9333,-0.408526674819012
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",171.8,6.65500582072177
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",59,-9.15254237288135
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",256,-33.984375
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",249.2333,-3.1295978506885
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Baseline",252.9333,-0.408526674819012
"Mean Project Supply (Apr-Sep)",365.6945,"KAF","Water Delivery","HW","CMIP3",2070,"Baseline",361.3104,1.21338882024984
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Baseline",1377.9978,6.99932176959934
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Baseline",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Baseline",668.7854,23.0895889772713
"Mean Annual MWAT",82.2269,"degF","Water Quality","HW","CMIP3",2070,"Baseline",75.7443,8.55853179711213
"Mean exceedence of MWAT - Poor",18.5469,"degF","Water Quality","HW","CMIP3",2070,"Baseline",12.0643,53.733743358504
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add Flow
10%",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add Flow
10%",56.8769,2.02173465853449
"Mean Percent of Annual Refuge Demand",15.3626,"% of Years","Ecological Resources","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Add Flow
10%",26741.1142,-0.859354618813899
"Boyle Mean Spill Volume per year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",238.7,"days","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",149.6,"days","Hydropower","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Add Flow
10%",44.1179,-1.26184609874903
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Add Flow
10%",224.4786,99.486320745051
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",247.6667,-13.7416132245473
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",154.9,-10.6305358295675
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",220.4333,6.0638297389732
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",183.9667,5.92498533702024
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
10%",252.9333,-0.408526674819012
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",171.8,6.65500582072177
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",59,-9.15254237288135
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",256,-33.984375
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",249.2333,-3.1295978506885
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
10%",252.9333,-0.408526674819012
"Mean Percent Full Supply (Apr-Sep)",93.7678,"%","Water Delivery","HW","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Add Flow
10%",1377.9978,6.99932176959934
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Add Flow
10%",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Add Flow
10%",668.7854,23.0895889772713
"Mean Annual MWAT",81.8103,"degF","Water Quality","HW","CMIP3",2070,"Add Flow
10%",75.7443,8.00852341364301
"Mean exceedence of MWAT - Poor",18.1303,"degF","Water Quality","HW","CMIP3",2070,"Add Flow
10%",12.0643,50.2805798927414
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add Flow
20%",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add Flow
20%",56.8769,2.02173465853449
"Mean Percent of Annual Refuge Demand",15.3626,"% of Years","Ecological Resources","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Add Flow
20%",26741.1142,-0.859354618813899
"Boyle Mean Spill Volume per year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",238.7,"days","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",149.6,"days","Hydropower","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Add Flow
20%",44.1179,-1.26184609874903
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Add Flow
20%",224.4786,99.486320745051
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",247.6667,-13.7416132245473
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",154.9,-10.6305358295675
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",220.4333,6.0638297389732
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",183.9667,5.92498533702024
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Add Flow
20%",252.9333,-0.408526674819012
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",171.8,6.65500582072177
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",59,-9.15254237288135
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",256,-33.984375
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",249.2333,-3.1295978506885
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Add Flow
20%",252.9333,-0.408526674819012
"Mean Percent Full Supply (Apr-Sep)",93.7678,"%","Water Delivery","HW","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Add Flow
20%",1377.9978,6.99932176959934
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Add Flow
20%",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Add Flow
20%",668.7854,23.0895889772713
"Mean Annual MWAT",81.4674,"degF","Water Quality","HW","CMIP3",2070,"Add Flow
20%",75.7443,7.55581608121007
"Mean exceedence of MWAT - Poor",17.7874,"degF","Water Quality","HW","CMIP3",2070,"Add Flow
20%",12.0643,47.4383097237304
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce Tribs
4degC",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce Tribs
4degC",56.8769,2.02173465853449
"Mean Percent of Annual Refuge Demand",15.3626,"% of Years","Ecological Resources","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",26741.1142,-0.859354618813899
"Boyle Mean Spill Volume per year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",238.7,"days","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",149.6,"days","Hydropower","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Reduce Tribs
4degC",44.1179,-1.26184609874903
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Reduce Tribs
4degC",224.4786,99.486320745051
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",247.6667,-13.7416132245473
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",154.9,-10.6305358295675
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",220.4333,6.0638297389732
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",183.9667,5.92498533702024
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Tribs
4degC",252.9333,-0.408526674819012
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",171.8,6.65500582072177
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",59,-9.15254237288135
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",256,-33.984375
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",249.2333,-3.1295978506885
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Tribs
4degC",252.9333,-0.408526674819012
"Mean Percent Full Supply (Apr-Sep)",93.7678,"%","Water Delivery","HW","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce Tribs
4degC",1377.9978,6.99932176959934
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce Tribs
4degC",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce Tribs
4degC",668.7854,23.0895889772713
"Mean Annual MWAT",78.716,"degF","Water Quality","HW","CMIP3",2070,"Reduce Tribs
4degC",75.7443,3.92333152461637
"Mean exceedence of MWAT - Poor",15.036,"degF","Water Quality","HW","CMIP3",2070,"Reduce Tribs
4degC",12.0643,24.6321792395746
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",56.8769,2.02173465853449
"Mean Percent of Annual Refuge Demand",15.3626,"% of Years","Ecological Resources","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",26741.1142,-0.859354618813899
"Boyle Mean Spill Volume per year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",238.7,"days","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",149.6,"days","Hydropower","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",44.1179,-1.26184609874903
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",224.4786,99.486320745051
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",247.6667,-13.7416132245473
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",154.9,-10.6305358295675
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",220.4333,6.0638297389732
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",183.9667,5.92498533702024
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",252.9333,-0.408526674819012
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",171.8,6.65500582072177
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",59,-9.15254237288135
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",256,-33.984375
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",274.7333,-4.9138564564252
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",249.2333,-3.1295978506885
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",213.9333,3.61486500699049
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",252.9333,-0.408526674819012
"Mean Percent Full Supply (Apr-Sep)",93.7678,"%","Water Delivery","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",1377.9978,6.99932176959934
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",668.7854,23.0895889772713
"Mean Annual MWAT",79.1591,"degF","Water Quality","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",75.7443,4.50832603905508
"Mean exceedence of MWAT - Poor",15.4791,"degF","Water Quality","HW","CMIP3",2070,"Reduce Dam
Outflow
4degC",12.0643,28.3049990467744
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline",70.5029,0.478987389171223
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline",56.8769,5.43964245590037
"Mean Annual Water Delivery to LKNWR",13.3284,"KAF","Ecological Resources","HW","CMIP5",2030,"Baseline",24.6143,-45.8509890592054
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Baseline",26741.1142,-0.80840348828846
"Boyle Mean Spill Volume per Year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",163.0602,141.414704507906
"Copco1 Mean Spill Volume per Year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",186.3791,129.730264820465
"Iron Gate Mean Spill Volume per Year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",533.8601,46.3954695246938
"Boyle Mean Spill Days per Year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Baseline",105.9,110.229745042493
"Copco1 Mean Spill Days per Year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Baseline",42.8,33.8007009345794
"Iron Gate Mean Spill Days per Year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Baseline",170.3333,-16.790609939454
