"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"HellsCornerReach Mean Ann Boating Days",216.6333,"days","Recreation Boating","WD","CMIP5",2030,"Add 30KAF",256,-15.3776171875
"IGScottReach Mean Ann Boating Days",277.0333,"days","Recreation Boating","WD","CMIP5",2030,"Add 30KAF",274.7333,0.837175544428
"ScottSalmonReach Mean Ann Boating Days",255.3,"days","Recreation Boating","WD","CMIP5",2030,"Add 30KAF",249.2333,2.43414503599639
"SalmonTrinityReach Mean Ann Boating Days",233.6333,"days","Recreation Boating","WD","CMIP5",2030,"Add 30KAF",213.9333,9.20847759558703
"TrinityOceanReach Mean Ann Boating Days",262.7333,"days","Recreation Boating","WD","CMIP5",2030,"Add 30KAF",252.9333,3.87453925600148
"Mean Project Supply (Apr-Sep)",349.6558,"KAF","Water Delivery","WD","CMIP5",2030,"Add 30KAF",361.3104,-3.22564753187288
"Mean Annual UKL Stg and Inflow",1322.2676,"KAF","Water Delivery","WD","CMIP5",2030,"Add 30KAF",1377.9978,-4.04428802426246
"Mean Annual Shasta Flow",175.7829,"cfs","Water Delivery","WD","CMIP5",2030,"Add 30KAF",187.6871,-6.34257761987903
"Mean Annual Scott Flow",632.5014,"cfs","Water Delivery","WD","CMIP5",2030,"Add 30KAF",668.7854,-5.42535767078647
"Mean Annual MWAT",79.484,"degF","Water Quality","WD","CMIP5",2030,"Add 30KAF",75.7443,4.93726920705584
"Mean exceedence of MWAT - Poor",15.804,"degF","Water Quality","WD","CMIP5",2030,"Add 30KAF",12.0643,30.9980686819791
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Baseline",70.5029,-5.20389941406665
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Baseline",56.8769,-5.79268560698631
"Mean Annual Water Delivery to LKNWR",15.9465,"KAF","Ecological Resources","WD","CMIP5",2070,"Baseline",24.6143,-35.2144891384277
"Mean Annual Hydropower Generated (MW)",24451.3807,"MW","Hydropower","WD","CMIP5",2070,"Baseline",26741.1142,-8.56259572011401
"Boyle Mean Spill Volume per Year",218.8711,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",163.0602,34.2271749942659
"Copco1 Mean Spill Volume per Year",233.6029,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",186.3791,25.3374976056865
"Iron Gate Mean Spill Volume per Year",517.6026,"KAF","Hydropower","WD","CMIP5",2070,"Baseline",533.8601,-3.04527347145815
"Boyle Mean Spill Days per Year",167.4,"days","Hydropower","WD","CMIP5",2070,"Baseline",105.9,58.0736543909348
"Copco1 Mean Spill Days per Year",44.1667,"days","Hydropower","WD","CMIP5",2070,"Baseline",42.8,3.19322429906542
"Iron Gate Mean Spill Days per Year",123.1,"days","Hydropower","WD","CMIP5",2070,"Baseline",170.3333,-27.7299271487137
"Freq of UKL Flood Control Release",40.7046,"Percent of Days","Flood Control","WD","CMIP5",2070,"Baseline",44.1179,-7.73676897585787
"Mean Ann UKL Flood Control Release Volume",253.5896,"KAF","Flood Control","WD","CMIP5",2070,"Baseline",224.4786,12.9682740359215
"KenoReach Mean Ann Fishing Days",257.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",247.6667,3.94344496050538
"BoyleReach Mean Ann Fishing Days",176,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",154.9,13.6216914138154
"HellsCornerReach Mean Ann Fishing Days",266.0333,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",220.4333,20.6865296667972
"IGScottReach Mean Ann Fishing Days",284.2667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",274.7333,3.47005623271734
"ScottSalmonReach Mean Ann Fishing Days",200.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",183.9667,9.02337216463632
"SalmonTrinityReach Mean Ann Fishing Days",238.1,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",213.9333,11.2963713456484
"TrinityOceanReach Mean Ann Fishing Days",265.7667,"days","Recreation Fishing","WD","CMIP5",2070,"Baseline",252.9333,5.07382776407852
"KenoReach Mean Ann Boating Days",159.2,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",171.8,-7.33410942956928
"BoyleReach Mean Ann Boating Days",51.4,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",59,-12.8813559322034
"HellsCornerReach Mean Ann Boating Days",188.5333,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",256,-26.3541796875
"IGScottReach Mean Ann Boating Days",284.2667,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",274.7333,3.47005623271734
"ScottSalmonReach Mean Ann Boating Days",255.2,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",249.2333,2.39402198662858
"SalmonTrinityReach Mean Ann Boating Days",238.1,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",213.9333,11.2963713456484
"TrinityOceanReach Mean Ann Boating Days",265.7667,"days","Recreation Boating","WD","CMIP5",2070,"Baseline",252.9333,5.07382776407852
"Mean Project Supply (Apr-Sep)",348.7321,"KAF","Water Delivery","WD","CMIP5",2070,"Baseline",361.3104,-3.48130028916965
"Mean Annual UKL Stg and Inflow",1311.9542,"KAF","Water Delivery","WD","CMIP5",2070,"Baseline",1377.9978,-4.79272173003471
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Baseline",187.6871,-5.66773102679939
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Baseline",668.7854,-7.49406311800467
"Mean Annual MWAT",79.8414,"degF","Water Quality","WD","CMIP5",2070,"Baseline",75.7443,5.40911989417025
"Mean exceedence of MWAT - Poor",16.1614,"degF","Water Quality","WD","CMIP5",2070,"Baseline",12.0643,33.9605281698897
"Frequency Meeting Dry Year Fish Targets Scott",66.2773,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce ET 30%",70.5029,-5.99351232360655
"Frequency Meeting Dry Year Fish Targets Shasta",52.8612,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce ET 30%",56.8769,-7.06033556681184
"Mean Annual Water Delivery to LKNWR",17.2803,"KAF","Ecological Resources","WD","CMIP5",2070,"Reduce ET 30%",24.6143,-29.7956878724969
"Mean Annual Hydropower Generated (MW)",24557.9773,"MW","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",26741.1142,-8.16397134267502
"Boyle Mean Spill Volume per Year",220.4421,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",163.0602,35.1906228497205
"Copco1 Mean Spill Volume per Year",234.5665,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",186.3791,25.8545083649401
"Iron Gate Mean Spill Volume per Year",520.797,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",533.8601,-2.44691446317115
"Boyle Mean Spill Days per Year",167.6667,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",105.9,58.3254957507082
"Copco1 Mean Spill Days per Year",44.1,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",42.8,3.0373831775701
"Iron Gate Mean Spill Days per Year",124.7667,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 30%",170.3333,-26.7514338065428
"Freq of UKL Flood Control Release",39.6003,"Percent of Days","Flood Control","WD","CMIP5",2070,"Reduce ET 30%",44.1179,-10.2398346249482
"Mean Ann UKL Flood Control Release Volume",254.6245,"KAF","Flood Control","WD","CMIP5",2070,"Reduce ET 30%",224.4786,13.4292979375317
"KenoReach Mean Ann Fishing Days",256.6,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",247.6667,3.60698470969252
"BoyleReach Mean Ann Fishing Days",174.8667,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",154.9,12.8900581020013
"HellsCornerReach Mean Ann Fishing Days",265.2,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",220.4333,20.3085014832151
"IGScottReach Mean Ann Fishing Days",284.3333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",274.7333,3.49429792456904
"ScottSalmonReach Mean Ann Fishing Days",200.8333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",183.9667,9.16828969590692
"SalmonTrinityReach Mean Ann Fishing Days",237.9,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",213.9333,11.2028842634597
"TrinityOceanReach Mean Ann Fishing Days",265.6333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 30%",252.9333,5.02108658685907
"KenoReach Mean Ann Boating Days",160.4333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",171.8,-6.61623981373691
"BoyleReach Mean Ann Boating Days",52.0667,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",59,-11.7513559322034
"HellsCornerReach Mean Ann Boating Days",189.5,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",256,-25.9765625
"IGScottReach Mean Ann Boating Days",284.3333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",274.7333,3.49429792456904
"ScottSalmonReach Mean Ann Boating Days",255.8,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",249.2333,2.6347602828354
"SalmonTrinityReach Mean Ann Boating Days",237.9,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",213.9333,11.2028842634597
"TrinityOceanReach Mean Ann Boating Days",265.6333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 30%",252.9333,5.02108658685907
"Mean Project Supply (Apr-Sep)",349.6375,"KAF","Water Delivery","WD","CMIP5",2070,"Reduce ET 30%",361.3104,-3.23071242898074
"Mean Annual UKL Stg and Inflow",1317.4683,"KAF","Water Delivery","WD","CMIP5",2070,"Reduce ET 30%",1377.9978,-4.39256869640867
"Mean Annual Shasta Flow",177.4162,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce ET 30%",187.6871,-5.47235265503062
"Mean Annual Scott Flow",619.8416,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce ET 30%",668.7854,-7.31831167366991
"Mean Annual MWAT",79.8414,"degF","Water Quality","WD","CMIP5",2070,"Reduce ET 30%",75.7443,5.40911989417025
"Mean exceedence of MWAT - Poor",16.1614,"degF","Water Quality","WD","CMIP5",2070,"Reduce ET 30%",12.0643,33.9605281698897
"Frequency Meeting Dry Year Fish Targets Scott",65.7114,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce ET 50%",70.5029,-6.79617434176466
"Frequency Meeting Dry Year Fish Targets Shasta",51.8938,"% of Days","Ecological Resources","WD","CMIP5",2070,"Reduce ET 50%",56.8769,-8.76120182358743
"Mean Annual Water Delivery to LKNWR",18.3202,"KAF","Ecological Resources","WD","CMIP5",2070,"Reduce ET 50%",24.6143,-25.5709079681323
"Mean Annual Hydropower Generated (MW)",24628.6562,"MW","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",26741.1142,-7.89966335808101
"Boyle Mean Spill Volume per Year",221.383,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",163.0602,35.7676490032516
"Copco1 Mean Spill Volume per Year",235.6685,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",186.3791,26.4457763772869
"Iron Gate Mean Spill Volume per Year",523.1832,"KAF","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",533.8601,-1.99994343087261
"Boyle Mean Spill Days per Year",168.0333,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",105.9,58.671671388102
"Copco1 Mean Spill Days per Year",44.3333,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",42.8,3.58247663551403
"Iron Gate Mean Spill Days per Year",125,"days","Hydropower","WD","CMIP5",2070,"Reduce ET 50%",170.3333,-26.6144670478409
"Freq of UKL Flood Control Release",39.2626,"Percent of Days","Flood Control","WD","CMIP5",2070,"Reduce ET 50%",44.1179,-11.0052835697075
"Mean Ann UKL Flood Control Release Volume",255.3283,"KAF","Flood Control","WD","CMIP5",2070,"Reduce ET 50%",224.4786,13.7428244830465
"KenoReach Mean Ann Fishing Days",256.5333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",247.6667,3.58005335396321
"BoyleReach Mean Ann Fishing Days",173.5667,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",154.9,12.0508069722401
"HellsCornerReach Mean Ann Fishing Days",264.3,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",220.4333,19.9002147134757
"IGScottReach Mean Ann Fishing Days",284.1,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",274.7333,3.40937920521467
"ScottSalmonReach Mean Ann Fishing Days",200.7,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",183.9667,9.09583093027161
"SalmonTrinityReach Mean Ann Fishing Days",237.7,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",213.9333,11.109397181271
"TrinityOceanReach Mean Ann Fishing Days",265.5333,"days","Recreation Fishing","WD","CMIP5",2070,"Reduce ET 50%",252.9333,4.9815504720019
"KenoReach Mean Ann Boating Days",161.2,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",171.8,-6.1699650756694
"BoyleReach Mean Ann Boating Days",52.5,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",59,-11.0169491525424
"HellsCornerReach Mean Ann Boating Days",190.8333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",256,-25.4557421875
"IGScottReach Mean Ann Boating Days",284.1,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",274.7333,3.40937920521467
"ScottSalmonReach Mean Ann Boating Days",255.9333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",249.2333,2.68824430764267
"SalmonTrinityReach Mean Ann Boating Days",237.7,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",213.9333,11.109397181271
"TrinityOceanReach Mean Ann Boating Days",265.5333,"days","Recreation Boating","WD","CMIP5",2070,"Reduce ET 50%",252.9333,4.9815504720019
"Mean Project Supply (Apr-Sep)",350.3477,"KAF","Water Delivery","WD","CMIP5",2070,"Reduce ET 50%",361.3104,-3.03415013794235
"Mean Annual UKL Stg and Inflow",1321.0846,"KAF","Water Delivery","WD","CMIP5",2070,"Reduce ET 50%",1377.9978,-4.13013721792591
"Mean Annual Shasta Flow",177.8528,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce ET 50%",187.6871,-5.2397314466471
"Mean Annual Scott Flow",620.8246,"cfs","Water Delivery","WD","CMIP5",2070,"Reduce ET 50%",668.7854,-7.1713287999409
"Mean Annual MWAT",79.8466,"degF","Water Quality","WD","CMIP5",2070,"Reduce ET 50%",75.7443,5.41598509722844
"Mean exceedence of MWAT - Poor",16.1666,"degF","Water Quality","WD","CMIP5",2070,"Reduce ET 50%",12.0643,34.0036305463226
"Frequency Meeting Dry Year Fish Targets Scott",66.834,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add 30KAF",70.5029,-5.20389941406665
"Frequency Meeting Dry Year Fish Targets Shasta",53.5822,"% of Days","Ecological Resources","WD","CMIP5",2070,"Add 30KAF",56.8769,-5.79268560698631
"Mean Annual Water Delivery to LKNWR",16.6589,"KAF","Ecological Resources","WD","CMIP5",2070,"Add 30KAF",24.6143,-32.3202366104257
"Mean Annual Hydropower Generated (MW)",24859.318,"MW","Hydropower","WD","CMIP5",2070,"Add 30KAF",26741.1142,-7.03708972605188
"Boyle Mean Spill Volume per Year",226.813,"KAF","Hydropower","WD","CMIP5",2070,"Add 30KAF",163.0602,39.0977074724549
"Copco1 Mean Spill Volume per Year",242.2517,"KAF","Hydropower","WD","CMIP5",2070,"Add 30KAF",186.3791,29.977932075002
"Iron Gate Mean Spill Volume per Year",535.7542,"KAF","Hydropower","WD","CMIP5",2070,"Add 30KAF",533.8601,0.354793325067743
"Boyle Mean Spill Days per Year",169,"days","Hydropower","WD","CMIP5",2070,"Add 30KAF",105.9,59.5845136921624
"Copco1 Mean Spill Days per Year",45.8,"days","Hydropower","WD","CMIP5",2070,"Add 30KAF",42.8,7.00934579439252
"Iron Gate Mean Spill Days per Year",127.1667,"days","Hydropower","WD","CMIP5",2070,"Add 30KAF",170.3333,-25.3424315738614
"Freq of UKL Flood Control Release",41.5168,"Percent of Days","Flood Control","WD","CMIP5",2070,"Add 30KAF",44.1179,-5.8957928641209
"Mean Ann UKL Flood Control Release Volume",262.1281,"KAF","Flood Control","WD","CMIP5",2070,"Add 30KAF",224.4786,16.7719773733443
"KenoReach Mean Ann Fishing Days",253.3667,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",247.6667,2.30148017476714
"BoyleReach Mean Ann Fishing Days",171.6333,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",154.9,10.8026468689477
"HellsCornerReach Mean Ann Fishing Days",261.5,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",220.4333,18.6299892076197
"IGScottReach Mean Ann Fishing Days",284,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",274.7333,3.3729802685004
"ScottSalmonReach Mean Ann Fishing Days",200.7333,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",183.9667,9.11393203226454
"SalmonTrinityReach Mean Ann Fishing Days",237.4333,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",213.9333,10.9847321571724
"TrinityOceanReach Mean Ann Fishing Days",265.5333,"days","Recreation Fishing","WD","CMIP5",2070,"Add 30KAF",252.9333,4.9815504720019
"KenoReach Mean Ann Boating Days",162.2667,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",171.8,-5.54906868451689
"BoyleReach Mean Ann Boating Days",53.3333,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",59,-9.60457627118644
"HellsCornerReach Mean Ann Boating Days",192.0333,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",256,-24.9869921875
"IGScottReach Mean Ann Boating Days",284,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",274.7333,3.3729802685004
"ScottSalmonReach Mean Ann Boating Days",255.5,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",249.2333,2.51439113473199
"SalmonTrinityReach Mean Ann Boating Days",237.4333,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",213.9333,10.9847321571724
"TrinityOceanReach Mean Ann Boating Days",265.5333,"days","Recreation Boating","WD","CMIP5",2070,"Add 30KAF",252.9333,4.9815504720019
"Mean Project Supply (Apr-Sep)",353.9781,"KAF","Water Delivery","WD","CMIP5",2070,"Add 30KAF",361.3104,-2.02936311824958
"Mean Annual UKL Stg and Inflow",1334.6663,"KAF","Water Delivery","WD","CMIP5",2070,"Add 30KAF",1377.9978,-3.14452606528109
"Mean Annual Shasta Flow",177.0495,"cfs","Water Delivery","WD","CMIP5",2070,"Add 30KAF",187.6871,-5.66773102679939
"Mean Annual Scott Flow",618.6662,"cfs","Water Delivery","WD","CMIP5",2070,"Add 30KAF",668.7854,-7.49406311800467
"Mean Annual MWAT",79.8457,"degF","Water Quality","WD","CMIP5",2070,"Add 30KAF",75.7443,5.41479688900683
"Mean exceedence of MWAT - Poor",16.1657,"degF","Water Quality","WD","CMIP5",2070,"Add 30KAF",12.0643,33.9961705196323
"Frequency Meeting Dry Year Fish Targets Scott",73.9801,"% of Days","Ecological Resources","WW","CMIP3",2030,"Baseline",70.5029,4.9319957051412
"Frequency Meeting Dry Year Fish Targets Shasta",61.0112,"% of Days","Ecological Resources","WW","CMIP3",2030,"Baseline",56.8769,7.26885607337953
"Mean Annual Water Delivery to LKNWR",17.8769,"KAF","Ecological Resources","WW","CMIP3",2030,"Baseline",24.6143,-27.3718935740606
"Mean Annual Hydropower Generated (MW)",27715.0688,"MW","Hydropower","WW","CMIP3",2030,"Baseline",26741.1142,3.64216162690783
"Boyle Mean Spill Volume per Year",314.4029,"KAF","Hydropower","WW","CMIP3",2030,"Baseline",163.0602,92.814003662451
"Copco1 Mean Spill Volume per Year",342.3819,"KAF","Hydropower","WW","CMIP3",2030,"Baseline",186.3791,83.7018742981375
"Iron Gate Mean Spill Volume per Year",711.7701,"KAF","Hydropower","WW","CMIP3",2030,"Baseline",533.8601,33.3252101065429
"Boyle Mean Spill Days per Year",195.7,"days","Hydropower","WW","CMIP3",2030,"Baseline",105.9,84.7969782813975
"Copco1 Mean Spill Days per Year",57.3,"days","Hydropower","WW","CMIP3",2030,"Baseline",42.8,33.8785046728972
"Iron Gate Mean Spill Days per Year",155.7,"days","Hydropower","WW","CMIP3",2030,"Baseline",170.3333,-8.59098015479065
"Freq of UKL Flood Control Release",45.5508,"Percent of Days","Flood Control","WW","CMIP3",2030,"Baseline",44.1179,3.24788804544188
"Mean Ann UKL Flood Control Release Volume",317.8676,"KAF","Flood Control","WW","CMIP3",2030,"Baseline",224.4786,41.6026293820435
"KenoReach Mean Ann Fishing Days",228.2,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",247.6667,-7.86003931897183
"BoyleReach Mean Ann Fishing Days",124.5667,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",154.9,-19.5825048418334
"HellsCornerReach Mean Ann Fishing Days",236,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",220.4333,7.06186406500288
"IGScottReach Mean Ann Fishing Days",268.6667,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",274.7333,-2.20817789470734
"ScottSalmonReach Mean Ann Fishing Days",173.6,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",183.9667,-5.63509591681539
"SalmonTrinityReach Mean Ann Fishing Days",199.6667,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",213.9333,-6.6687140337666
"TrinityOceanReach Mean Ann Fishing Days",232.8667,"days","Recreation Fishing","WW","CMIP3",2030,"Baseline",252.9333,-7.93355402392646
"KenoReach Mean Ann Boating Days",205.2333,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",171.8,19.4605937136205
"BoyleReach Mean Ann Boating Days",67.4,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",59,14.2372881355932
"HellsCornerReach Mean Ann Boating Days",224.4667,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",256,-12.3176953125
"IGScottReach Mean Ann Boating Days",268.6667,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",274.7333,-2.20817789470734
"ScottSalmonReach Mean Ann Boating Days",231.8333,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",249.2333,-6.98141058999741
"SalmonTrinityReach Mean Ann Boating Days",199.6667,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",213.9333,-6.6687140337666
"TrinityOceanReach Mean Ann Boating Days",232.8667,"days","Recreation Boating","WW","CMIP3",2030,"Baseline",252.9333,-7.93355402392646
"Mean Project Supply (Apr-Sep)",369.2528,"KAF","Water Delivery","WW","CMIP3",2030,"Baseline",361.3104,2.1982206988783
"Mean Annual UKL Stg and Inflow",1478.3166,"KAF","Water Delivery","WW","CMIP3",2030,"Baseline",1377.9978,7.28004065028261
"Mean Annual Shasta Flow",217.7961,"cfs","Water Delivery","WW","CMIP3",2030,"Baseline",187.6871,16.0421254311032
"Mean Annual Scott Flow",842.3987,"cfs","Water Delivery","WW","CMIP3",2030,"Baseline",668.7854,25.9594931348681
"Mean Annual MWAT",78.4477,"degF","Water Quality","WW","CMIP3",2030,"Baseline",75.7443,3.56911345144123
"Mean exceedence of MWAT - Poor",14.7677,"degF","Water Quality","WW","CMIP3",2030,"Baseline",12.0643,22.4082623940055
"Frequency Meeting Dry Year Fish Targets Scott",73.3595,"% of Days","Ecological Resources","WW","CMIP3",2030,"Reduce ET 30%",70.5029,4.0517482259595
"Frequency Meeting Dry Year Fish Targets Shasta",60.3724,"% of Days","Ecological Resources","WW","CMIP3",2030,"Reduce ET 30%",56.8769,6.14572875807226
"Mean Annual Water Delivery to LKNWR",19.1964,"KAF","Ecological Resources","WW","CMIP3",2030,"Reduce ET 30%",24.6143,-22.0111886179985
"Mean Annual Hydropower Generated (MW)",27746.6651,"MW","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",26741.1142,3.76031788533328
"Boyle Mean Spill Volume per Year",315.5551,"KAF","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",163.0602,93.5206138591759
"Copco1 Mean Spill Volume per Year",343.6325,"KAF","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",186.3791,84.3728722802074
"Iron Gate Mean Spill Volume per Year",713.6855,"KAF","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",533.8601,33.6839932409259
"Boyle Mean Spill Days per Year",195.7,"days","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",105.9,84.7969782813975
"Copco1 Mean Spill Days per Year",57.5,"days","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",42.8,34.3457943925234
"Iron Gate Mean Spill Days per Year",156.2333,"days","Hydropower","WW","CMIP3",2030,"Reduce ET 30%",170.3333,-8.27788811700354
"Freq of UKL Flood Control Release",44.4556,"Percent of Days","Flood Control","WW","CMIP3",2030,"Reduce ET 30%",44.1179,0.765448944759379
"Mean Ann UKL Flood Control Release Volume",318.0576,"KAF","Flood Control","WW","CMIP3",2030,"Reduce ET 30%",224.4786,41.6872699669367
"KenoReach Mean Ann Fishing Days",227.9333,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",247.6667,-7.96772436504382
"BoyleReach Mean Ann Fishing Days",124.2667,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",154.9,-19.7761781794706
"HellsCornerReach Mean Ann Fishing Days",235.7667,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",220.4333,6.95602706124709
"IGScottReach Mean Ann Fishing Days",268.7333,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",274.7333,-2.18393620285564
"ScottSalmonReach Mean Ann Fishing Days",173.4667,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",183.9667,-5.70755468245068
"SalmonTrinityReach Mean Ann Fishing Days",199.4333,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",213.9333,-6.77781345868081
"TrinityOceanReach Mean Ann Fishing Days",232.8667,"days","Recreation Fishing","WW","CMIP3",2030,"Reduce ET 30%",252.9333,-7.93355402392646
"KenoReach Mean Ann Boating Days",205.3667,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",171.8,19.5382421420256
"BoyleReach Mean Ann Boating Days",67.7,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",59,14.7457627118644
"HellsCornerReach Mean Ann Boating Days",225.0333,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",256,-12.0963671875
"IGScottReach Mean Ann Boating Days",268.7333,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",274.7333,-2.18393620285564
"ScottSalmonReach Mean Ann Boating Days",231.6667,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",249.2333,-7.04825559024417
"SalmonTrinityReach Mean Ann Boating Days",199.4333,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",213.9333,-6.77781345868081
"TrinityOceanReach Mean Ann Boating Days",232.8667,"days","Recreation Boating","WW","CMIP3",2030,"Reduce ET 30%",252.9333,-7.93355402392646
"Mean Project Supply (Apr-Sep)",369.6506,"KAF","Water Delivery","WW","CMIP3",2030,"Reduce ET 30%",361.3104,2.30831993764917
"Mean Annual UKL Stg and Inflow",1481.3147,"KAF","Water Delivery","WW","CMIP3",2030,"Reduce ET 30%",1377.9978,7.49760993812906
